Key	English	French	Russian	Chinese (Simplified)	Japanese	Korean	Chinese (Traditional)	Thai	Indonesian	Italian	Spanish (Latin Americas)	Portuguese	Turkish	German	Notes
AnimalNames/Animal_0	Jackaroo	Jackaroo			ジャッカルー	자카루									
AnimalNames/Animal_1	Fish	Poisson			魚	물고기									
AnimalNames/Animal_10	Baby Chook	Poussin			ひよこ	베이비 추크									
AnimalNames/Animal_11	Vombat	Vombat			ヴォンバット	봄뱃									
AnimalNames/Animal_12	Vombat Joey	Joey Vombat			ヴォンバットの子供	봄뱃 조이									
AnimalNames/Animal_13	Mu	Émeu			ムー	무									
AnimalNames/Animal_14	Bush Devil	Graine de buisson			ブッシュデビル	부시 데빌									
AnimalNames/Animal_15	Toad				カエル	두꺼비									
AnimalNames/Animal_16	Wary Mu				イライラムー	워리 무									
AnimalNames/Animal_17	Pleep				カモハシ	플리프									
AnimalNames/Animal_18	Jelly Fish				クラゲ	젤리 피쉬									
AnimalNames/Animal_19	Pet Diggo				ペットディゴ	애완동물 디고									
AnimalNames/Animal_2	Bug				虫	벌레									
AnimalNames/Animal_20	Glowing Croco				光るワニ	빛나는 악어									
AnimalNames/Animal_21	Vombat Jack				ヴォンバットジャック	봄뱃 잭									
AnimalNames/Animal_22	Kidna				キドナ	키드나									
AnimalNames/Animal_23	Critter				クリッター	동물									
AnimalNames/Animal_24	Alpha Jackaroo				アルファジャッカルー	알파 재커루									
AnimalNames/Animal_25	Alpha Croco				アルファワニ	알파악어									
AnimalNames/Animal_26	Alpha Bush Devil				アルファブッシュデビル	알파 부시 데빌									
AnimalNames/Animal_27	Bat				コウモリ	박쥐									
AnimalNames/Animal_28	Frilly				フリマキ	프릴									
AnimalNames/Animal_29	White Boomer				白いブーマー	화이트 부머									
AnimalNames/Animal_3	Croco				ワニ	악어									
AnimalNames/Animal_30	Pincher Plant				ピンチャープラント	핀처 플랜트									
AnimalNames/Animal_31	Blooming Frilly				開花したフリマキ	블루밍 프릴리									
AnimalNames/Animal_32	Pleep Puggle				カモハシパグル	플립 퍼글									
AnimalNames/Animal_33	Mu Mount				騎乗用ムー	뮤 마운트									
AnimalNames/Animal_34	Grub				グラブ	애벌레									
AnimalNames/Animal_35	Grub Nest				グラブの巣	그럽 네스트									
AnimalNames/Animal_36	Flame Jelly Nest				炎のクラゲの巣	불꽃 젤리 둥지									
AnimalNames/Animal_37	Flame Jelly				炎のクラゲ	불꽃 젤리									
AnimalNames/Animal_38	Alpha Shark				アルファサメ	알파상어									
AnimalNames/Animal_39	Penguin				ペンギン	펭귄									
AnimalNames/Animal_4	Maggie				マグパイ	매기									
AnimalNames/Animal_40	Yobbolin				ヨボリン	요볼린									
AnimalNames/Animal_5	Shark				サメ	상어									
AnimalNames/Animal_6	Diggo				ディゴ	디고									
AnimalNames/Animal_7	Scrub Turkey				スクラブターキー	스크럽 칠면조									
AnimalNames/Animal_8	Cockatoo				オウム	소농									
AnimalNames/Animal_9	Chook				ニワトリ	추크									
AnimalNames/Carriable_0	Iron Trap					철 함정									
AnimalNames/Carriable_1	Crude Trap					조잡한 함정									
AnimalNames/Carriable_10	Present Sack					선물자루									
AnimalNames/Carriable_11	Emerald					에메랄드									
AnimalNames/Carriable_12	Aquamarine					남옥									
AnimalNames/Carriable_13	Beach Ball					비치 볼									
AnimalNames/Carriable_14	Meteorite					운석									
AnimalNames/Carriable_15	Big Snow Ball					큰 눈덩이									
AnimalNames/Carriable_16	Snow Man					눈사람									
AnimalNames/Carriable_17	Raw Berkonium					원시 베르코늄									
AnimalNames/Carriable_18	Water Bottle					물병									
AnimalNames/Carriable_19	Snow Brick					눈 벽돌									
AnimalNames/Carriable_2	Animal Box					동물 상자									
AnimalNames/Carriable_3	Wary Mu Egg					워리 무 에그									
AnimalNames/Carriable_4	Amber Chunk					앰버 청크									
AnimalNames/Carriable_5	Fossil					화석									
AnimalNames/Carriable_6	Ruby					루비									
AnimalNames/Carriable_7	Bee Hive					꿀벌 하이브									
AnimalNames/Carriable_8	Thunder Egg					썬더 에그									
AnimalNames/Carriable_9	Satelite					위성									
BiomeNames/Beach	Beach				ビーチ	해변									
BiomeNames/Billabong	Billabong				水たまり	빌라봉									
BiomeNames/Billabongs	Billabongs				水たまり	빌라봉									
BiomeNames/Bushlands	Bushlands				茂みの地	부시랜드									
BiomeNames/Desert	Desert				砂漠	사막									
BiomeNames/Everywhere	Everywhere				どこでも	어디에나									
BiomeNames/Island Reef	Island Reef				島の岩礁	아일랜드 리프									
BiomeNames/Mangroves	Mangroves				マングローブ	맹그로브									
BiomeNames/Northern Oceans	Northern Oceans				北の海	북해									
BiomeNames/Ocean	Ocean				海	대양									
BiomeNames/Pine Forest	Pine Forest				松の森	소나무 숲									
BiomeNames/Plains	Plains				平原	평원									
BiomeNames/River	River				川	강									
BiomeNames/Rivers	Rivers				川	강하									
BiomeNames/Rough Soil	Rough Soil				荒れた土壌	거친 토양									
BiomeNames/Southern Oceans	Southern Oceans				北の海	남부 해양									
BiomeNames/The Bushlands	The Bushlands				茂みの地	부시랜드									
BiomeNames/The Desert	The Desert				砂漠	사막									
BiomeNames/The Pine Forests	The Pine Forests				松の森	소나무 숲									
BiomeNames/The Plains	The Plains				平原	평원									
BiomeNames/The Tropics	The Tropics				南国	열대 지방									
BiomeNames/Tropics	Tropics				南国	열대 지방									
BiomeNames/Underground	Underground				地下	지하철									
BiomeNames/Unknown	Unknown				不明	알려지지 않은									
BuildingNames/Airport	Airport				空港	공항									
BuildingNames/Band Stand	Band Stand				野外ステージ	밴드 스탠드									
BuildingNames/Base Tent	Base Tent				拠点テント	베이스 텐트									
BuildingNames/Docks	Docks				船着場	부두									
