Key	English
Generic/12 NPC_Sheila_Intro_000_-960425937	G’day there, <petName>.þ
Generic/12 NPC_Sheila_Intro_001_-304816484	The name is <myName>.þ
Generic/12 NPC_Sheila_Intro_002_2136504208	<yes><NPCName> got in contact with me and told me to come check out <IslandName>.þ
Generic/12 NPC_Sheila_Intro_003_1136621488	<thinking>When she told me about all the tucker you can find here, I had to pack my bags and come take a look.þ
Generic/12 NPC_Sheila_Intro_004_1234442374	<glee>I bloody love cooking and eating great food.þ
Generic/12 NPC_Sheila_Intro_005_-321775458	<yes>I hope to try all the wonderful food you can cook here on <IslandName>.
Generic/12 NPC_Sheila_Intro_006_-2082366573	Lovely to meet you, <petName>.þ
Generic/13 NPC_Julia_Intro_000_-342005762	<wave>Oh, hello.
Generic/13 NPC_Julia_Intro_001_-373904764	My name is <myName>.
Generic/13 NPC_Julia_Intro_002_-1180763413	<NPCName> told me about you.
Generic/13 NPC_Julia_Intro_003_-1987926813	He's my big brother.
Generic/13 NPC_Julia_Intro_004_1227908502	<NPCName> told me that your name is <PlayerName>.
Generic/13 NPC_Julia_Intro_005_-172808981	<no>I asked him if you liked bugs and stuff, but he said he didn’t know.þ
Generic/13 NPC_Julia_Intro_006_-1953011906	So anyway, do you like bugs?
Generic/13 NPC_Julia_Intro_007_-222941299	<glee>I really, really love bugs.
Generic/13 NPC_Julia_Intro_008_-1297054754	<NPCName> told me to come visit him here on <IslandName> because there are lots of bugs.
Generic/13 NPC_Julia_Intro_009_-1552206067	And guess what?
Generic/13 NPC_Julia_Intro_010_-1451369792	<pumped>He was right!
Generic/14 NPC_Ghost_Intro_000_1657316191	Ah! Hey there!
Generic/14 NPC_Ghost_Intro_001_312701957	I'm <myName>. I moved into the new house here.
Generic/14 NPC_Ghost_Intro_002_818710158	You're <PlayerName>, right?
Generic/14 NPC_Ghost_Intro_003_1832297057	I heard that you're the one thats been working hard to get this town set up?
Generic/14 NPC_Ghost_Intro_004_-1600818971	Well, thanks for that, <PlayerName>! <glee>
Generic/15 NPC_Villager_Intro_000_1657316191	Ah! Hey there!
