Key	English
Generic/6 NPC_Fletch_Intro_000_188662	So, <PlayerName> . We made it.
Generic/6 NPC_Fletch_Intro_001_188662	Let's find a place we can start building!
Generic/MoveInRequest_Intro_000_189058	Hey, <PlayerName>.
Generic/MoveInRequest_Intro_001_189058	I've decided I really like it here. 
Generic/MoveInRequest_Intro_002_189058	So, I spoke to Fletch, and I've applied for a deed so I can set up a permanent store here in town.
Generic/MoveInRequest_Intro_003_189058	I hope I can move in soon!
Generic/MuseumMoveInRequest 1_Intro_000_189060	There are so many amazing creatures and plants on this island! <pumped>þ
Generic/MuseumMoveInRequest 1_Intro_001_189060	I think it might be worth documenting them all, correct? <yes>þ
Generic/MuseumMoveInRequest 1_Intro_002_189060	What if we built a museum here?þ
Generic/MuseumMoveInRequest 1_Intro_003_189060	Somewhere where we could gather all of the amazing things here for everyone to see?þ <glee>
Generic/MuseumMoveInRequest 1_Intro_004_189060	I’ll talk to <NPCName> about applying for a <itemName>.þ
Generic/MuseumMoveInRequest 1_Intro_005_189060	This is so exicting! <glee>
Npc3/High_Friendship_Greeting 2_Intro_000_189076	G’day <PlayerName>.
Npc3/High_Friendship_Greeting 2_Response_003_000_189076	Righto, mate.
Npc0/Highest_Friendship_Greeting 0_Intro_000_189084	Oh, G’day <PlayerName>!
Npc0/Highest_Friendship_Greeting 0_Response_003_000_189084	Don’t be a stranger, okay?
Npc6/RandomConvo_031_Intro_000_189090	<yes>It’s always so nice to see you <PlayerName>.þ
Npc6/RandomConvo_031_Intro_001_189090	<shy>I’ll tell you what, if I don’t get to talk to you at least once a day, I feel like I’ve missed out!þ
Npc4/RandomConvo_031_Intro_000_189092	Another great day where I get to talk to <PlayerName>.þ
Npc4/RandomConvo_031_Intro_001_189092	I always enjoy our chats, <PlayerName>.þ
Npc4/RandomConvo_031_Intro_002_189092	I enjoy chatting with all my good friends, y’know?þ
Generic/FirstDayFaintConvo_Intro_000_189124	.........<PlayerName>.........
Generic/FirstDayFaintConvo_Intro_001_189124	<PlayerName>.........
Generic/FirstDayFaintConvo_Intro_002_189124	<PlayerName>?
Generic/FirstDayFaintConvo_Intro_003_189124	<PlayerName>! Can you hear me?
Generic/FirstDayFaintConvo_Intro_004_189124	<yes>I’m so glad you’re okay!
Generic/FirstDayFaintConvo_Intro_005_189124	It looks like you fainted out there!þ
Generic/FirstDayFaintConvo_Intro_006_189124	<yes>Please be careful out there and always keep an eye on your health and energy.
