Key	English
CLOVER/BugComp_Greeting 000_Intro_000	<yes>I know I’m going to win this <bugComp>.
CLOVER/BugComp_Greeting 000_Intro_001	I had a dream about it.
CLOVER/BugComp_Greeting 000_Option_000	<chat>
CLOVER/BugComp_Greeting 000_Option_001	<jobCondition>
CLOVER/BugComp_Greeting 000_Option_002	<hangOut>
CLOVER/BugComp_Greeting 000_Option_003	<cancel>
CLOVER/BugComp_Greeting 000_Response_003_000	<no>I wouldn’t even try to win, <PlayerName>.
CLOVER/ClothesShopConvo_Intro_000	Welcome to Threadspace. How can I help you?
CLOVER/ClothesShopConvo_Option_000	Order from Catalogue
CLOVER/ClothesShopConvo_Option_001	I want to chat.
CLOVER/ClothesShopConvo_Option_002	I'm fine.
CLOVER/ClothesShopConvo_Response_000_000	Sure!
CLOVER/ClothesShopConvo_Response_002_000	Please take a look around!
CLOVER/CompleteBirthday_000_Intro_000	<shy>I had a dream you got me this for my <birthday>!
CLOVER/CompleteBirthday_000_Intro_001	<glee>Thank you very much, <PlayerName>.
CLOVER/CompleteRequest_000_Intro_000	Thank you very much, <PlayerName>!
CLOVER/CompleteRequest_000_Intro_001	<yes>I’ll put in a good word for your help.
CLOVER/CompleteRequest_000_Intro_002	Oh, I found this, y’know.
CLOVER/CompleteRequest_000_Intro_003	You can take it because you helped me out!
CLOVER/Gossip_About_NPC_000_Intro_000	I don’t think <NPCName> can see much beyond the here and now.þþ
CLOVER/Gossip_About_NPC_000_Intro_001	She’s all on the surface, y’know?þ
CLOVER/Gossip_About_NPC_001_Intro_000	I love the music in <NPCName> shop.þ
CLOVER/Gossip_About_NPC_001_Intro_001	You hear it, right?þ
CLOVER/Gossip_About_NPC_001_Intro_002	<no><NPCName> doesn’t...þ
CLOVER/Gossip_About_NPC_002_Intro_000	<yes>I really dig <NPCName>'s vibe.þ
CLOVER/Gossip_About_NPC_002_Intro_001	<no>There's no WAY I could pull off wearing goggles...þ
CLOVER/Gossip_About_NPC_002_Intro_002	<shy>Believe me, I tried!
CLOVER/Gossip_About_NPC_003_Intro_000	<NPCName> doesn’t say too much...þ
CLOVER/Gossip_About_NPC_003_Intro_001	I guess he’s a little bit like you, right <PlayerName>?
CLOVER/Gossip_About_NPC_006_Intro_000	I can see amazing things for <NPCName>.þ
CLOVER/Gossip_About_NPC_006_Intro_001	<thinking>Her path is so long… and she’s only halfway through it.þ
CLOVER/Gossip_About_NPC_007_Intro_000	<NPCName> really connects with his animals, spiritually.þ
CLOVER/Gossip_About_NPC_007_Intro_001	They must harmonise, y’know?þ
CLOVER/Gossip_About_NPC_009_Intro_000	<NPCName> is a nice guy and all… þþ
CLOVER/Gossip_About_NPC_009_Intro_001	<no>But he’s got no zazz. No zip.þ
CLOVER/Gossip_About_NPC_009_Intro_002	There’s just, nothing FUN about him, y’know?þ
CLOVER/Gossip_About_NPC_010_Intro_000	<NPCName> has a huge dark cloud hanging over him at all times…þ
CLOVER/Gossip_About_NPC_010_Intro_001	It’s terrifying.þ
CLOVER/Gossip_About_NPC_010_Intro_002	I’m kinda into it, y’know?þ
CLOVER/Introduction_004_Intro_000	Hey there, I’m <myName>. þ
CLOVER/Introduction_004_Intro_001	Pleasure to meet you, <PlayerName>.þþ<thinking>I feel like we’ve met each other before?þ
CLOVER/Introduction_004_Intro_002	No? Maybe it was in a past life or something.þ
CLOVER/Introduction_004_Intro_003	I became a <Nomad> a while back I just had to get out of <SouthCity>, y’know?þ
CLOVER/Introduction_004_Intro_004	<shy>So now I travel around selling the clothes I like to make.þ
CLOVER/Introduction_004_Intro_005	<glee>If you see anything you like, please let me know.
CLOVER/Introduction_004_Intro_006	Or just drop by whenever, y'know?
CLOVER/IslandDayGreeting_AfterNoon_004_Intro_000	Isn’t today amazing?þ
