Key	English
InventoryItemNames/InvItem_0	Basic Axe
InventoryItemDescriptions/InvDesc_0	Chop down trees and plants.
InventoryItemNames/InvItem_1	Megaphone
InventoryItemDescriptions/InvDesc_1	Let's you speak louder
InventoryItemNames/InvItem_2	Bug Net
InventoryItemDescriptions/InvDesc_2	Catch those creepy crawlies.
InventoryItemNames/InvItem_3	Chainsaw
InventoryItemDescriptions/InvDesc_3	A saw comprised of chain.
InventoryItemNames/InvItem_4	Fishing Rod
InventoryItemDescriptions/InvDesc_4	A rod used for fishing and the like.
InventoryItemNames/InvItem_5	Shovel of Dirt
InventoryItemDescriptions/InvDesc_5	This big spoon for dirt is filled with dirt
InventoryItemNames/InvItem_6	Shovel
InventoryItemDescriptions/InvDesc_6	It's like a big spoon for dirt and stuff.
InventoryItemNames/InvItem_7	Hoe
InventoryItemDescriptions/InvDesc_7	Hoe the dirt. Make it all soft and stuff.
InventoryItemNames/InvItem_8	Basic Pickaxe
InventoryItemDescriptions/InvDesc_8	This might be the first game ever to have one of these
InventoryItemNames/InvItem_9	Torch
InventoryItemDescriptions/InvDesc_9	This isn't a flashlight... it's a torch!
InventoryItemNames/InvItem_10	Basic Watering Can
InventoryItemDescriptions/InvDesc_10	Carries water from point A to point B
InventoryItemNames/InvItem_11	Wooden Bat
InventoryItemDescriptions/InvDesc_11	Howzat?
InventoryItemNames/InvItem_12	Bag of Cement
InventoryItemDescriptions/InvDesc_12	Made with a stone crusher.
InventoryItemNames/InvItem_13	BBQ
InventoryItemDescriptions/InvDesc_13	Throw some stuff on this. It will then cook.
InventoryItemNames/InvItem_14	Bone
InventoryItemDescriptions/InvDesc_14	A bone that can be used to make stuff.
InventoryItemNames/InvItem_15	Brick Path
InventoryItemDescriptions/InvDesc_15	Some bricks for the ground.
InventoryItemNames/InvItem_16	Brick Steps
InventoryItemDescriptions/InvDesc_16	5, 6, 7, 8
InventoryItemNames/InvItem_17	Bush Lime
InventoryItemDescriptions/InvDesc_17	Sour but yummy.
InventoryItemNames/InvItem_18	Camp Fire
InventoryItemDescriptions/InvDesc_18	A fire you can use while camping!
InventoryItemNames/InvItem_19	Cooked Meat
InventoryItemDescriptions/InvDesc_19	So yum.
